id,skillLevelId,content
1,1,Contributes to the collection and analysis of information to support strategy development.
2,1,Assists in the preparation of reports and insights for strategic planning.
3,1,Supports the communication of strategic plans and related change initiatives to relevant stakeholders.
4,1,Helps monitor progress against strategic objectives and provides feedback.
5,2,Collates information and creates reports and insights to support strategy management processes.
6,2,Ensures all stakeholders are aware of the strategic management approach and timetables.
7,2,Provides support and guidance to help stakeholders adhere to the approach.
8,2,Develops and communicates plans to drive forward the strategy and related change planning.
9,2,"Contributes to the development of policies, standards and guidelines for strategy development and planning."
10,3,"Sets policies, standards and guidelines for how the organisation conducts strategy development and planning."
11,3,Leads and manages the creation or review of a strategy that meets the requirements of the business.
12,3,"Develops, communicates, implements and reviews the processes which embed strategic management in the operational management of the organisation."
13,4,"Leads the definition, implementation and communication of the organisation’s strategic management framework."
14,4,Directs the creation and review of a strategy and plans to support the strategic requirements of the business.
15,5,Maintains awareness of the global needs of the organisation.
16,5,Promotes the benefits that a common approach to technology deployment will bring to the entire organisation.
17,5,"Coordinates and collaborates with others on the promotion, acquisition, development and implementation of information systems and services."
18,6,"Establishes the organisation's strategy for managing information and communicates the policies, standards, procedures and methods necessary to implement the strategy."
19,6,Coordinates all aspects of management of the lifecycle of information systems.
20,6,Represents the interests of the entire organisation to general management and external bodies on matters relating to information strategy.
21,7,Supports teams and individuals to identify and organise information assets and repositories in line with policy and practices.
22,7,Conducts routine searches for non-sensitive information needed to support organisational decision making.
23,7,Supports users to find and access information resources based on their requirements and approved access.
24,8,"Enables the organisation to organise, control and discover information assets."
25,8,"Supports the organisation to identify, catalogue and categorise information types and information repositories in line with information management strategies and practices."
26,8,Enables users to find information through appropriate use of metadata and search tools.
27,8,Provides advice and guidance to enable good information management practices to be adopted across the organisation.
28,9,Ensures implementation of information and records management policies and standard practice.
29,9,Communicates the benefits and value of information management.
30,9,"Plans effective information storage, sharing and publishing within the organisation."
31,9,Develops organisational taxonomy for information assets.
32,9,Provides expert advice and guidance to enable the organisation to get maximum value from its information assets.
33,9,Assesses issues that might prevent the organisation from making maximum use of its information assets.
34,9,"Contributes to the development of policy, standards and procedures for compliance with relevant legislation."
35,10,Leads and plans activities to communicate and implement information management strategies and policies.
36,10,"Develops organisational policies, standards and guidelines for information management."
37,10,Ensures the information required to support the organisation is defined.
38,10,Creates information management processes.
39,10,Coordinates internal and externally sourced information resources to meet specific business objectives.
40,11,Establishes and communicates the organisation's information management strategy.
41,11,Specifies at a strategic level the information needed to support the business strategy and business functions.
42,11,Directs information resources to create value for stakeholders.
43,11,"Accountable for compliance with regulations, standards and codes of good practice relating to all aspects of information management."
44,12,"Develops models and plans to drive the execution of the business strategy, taking advantage of opportunities to improve business performance."
45,12,Contributes to creating and reviewing a systems capability strategy which meets the business's strategic requirements.
46,12,Creates and maintains roadmaps to guide the execution of business strategy and capability improvements.
47,12,"Determines requirements and specifies effective business processes, through improvements in technology, information or data practices, organisation, roles, procedures and equipment."
48,13,Develops enterprise-wide architecture and processes to embed strategic change management within the organisation.
49,13,Leads the creation and review of a systems capability strategy aligned with business requirements.
50,13,"Develops roadmaps for enterprise architecture and initiatives, ensuring stakeholder buy-in."
51,13,"Captures and prioritises market and environmental trends, business strategies and objectives, identifying alternative strategies."
52,13,"Develops business cases for approval, funding and prioritisation of high-level initiatives."
53,13,"Sets strategies, policies, standards and practices to ensure compliance between business strategies, technology strategies and enterprise transformation activities."
54,14,Directs the development of enterprise-wide architecture and processes to embed the strategic application of change in the management of the organisation.
55,14,Directs the creation and review of an enterprise capability strategy to support the strategic requirements of the business.
56,14,Oversees the creation and implementation of roadmaps to guide long-term enterprise transformation and strategic alignment.
57,14,Identifies the business benefits of alternative strategies.
58,14,"Ensures compliance between business strategies, enterprise transformation activities and technology directions, setting strategies, policies, standards and practices."
59,15,"Contributes to the development of solution architectures in specific business, infrastructure or functional areas."
60,15,"Identifies and evaluates alternative architectures and the trade-offs in cost, performance and scalability."
61,15,Determines and documents architecturally significant decisions.
62,15,"Produces specifications of cloud-based or on-premises components, tiers and interfaces, for translation into detailed designs using selected services and products."
63,15,Supports projects or change initiatives through the preparation of technical plans and application of design principles.
64,15,Aligns solutions with enterprise and solution architecture standards (including security).
65,16,"Leads the development of solution architectures in specific business, infrastructure or functional areas."
66,16,Leads the preparation of technical plans and ensures appropriate technical resources are made available.
67,16,"Ensures appropriate tools and methods are available, understood and employed in architecture development."
68,16,Provides technical guidance and governance on solution development and integration.
69,16,Evaluates requests for changes and deviations from specifications and recommends actions.
70,16,"Ensures relevant technical strategies, policies, standards and practices (including security and cost management) are applied correctly."
71,17,Leads the development of architectures for complex solutions ensuring consistency with agreed requirements.
72,17,"Establishes policies, principles and practices for the selection of solution architecture components."
73,17,"Manages trade-offs and balances functional, service quality, cost efficiency and systems management requirements within a significant area of the organisation."
74,17,Communicates proposed decisions to stakeholders.
75,17,Coordinates and manages the target architecture across multiple projects or initiatives.
76,17,"Maintains a stable, viable architecture and ensures consistency of design and adherence to appropriate standards across multiple projects or initiatives."
77,18,Manages the innovation pipeline and executes innovation processes.
78,18,"Develops and adapts innovation tools, processes and infrastructures to drive the process of innovation."
79,18,Identifies resources and capabilities needed to support innovation.
80,18,"Encourages and motivates innovation communities, teams and individuals to share creative ideas and learn from failures."
81,18,Manages and facilitates the communication and open flow of creative ideas between interested parties and the set-up of innovation networks and communities.
82,19,Obtains organisational commitment to innovation.
83,19,Develops organisational capabilities to drive innovation.
84,19,"Leads and plans the development of innovation capabilities and implementation of innovation processes, tools and frameworks."
85,19,Leads the communication and an open flow of creative ideas between interested parties and the set-up of innovation networks and communities.
86,20,"Leads development of a culture that encourages innovation, risk-taking and collaboration."
87,20,Embeds innovation processes throughout business units and links strategy execution with innovation.
88,20,"Aligns organisational and individual objectives, measures and rewards with innovation."
89,21,Supports monitoring of the external environment and assessment of emerging technologies.
90,21,"Contributes to the creation of reports, technology roadmapping and the sharing of knowledge and insights."
91,22,Monitors the external environment to gather intelligence on emerging technologies.
92,22,"Assesses and documents the impacts, threats and opportunities to the organisation."
93,22,Creates reports and technology roadmaps and shares knowledge and insights with others.
94,23,"Plans and leads the identification and assessment of emerging technologies and the evaluation of potential impacts, threats and opportunities."
95,23,Creates technology roadmaps that align organisational plans with emerging technology solutions.
96,23,"Engages with, and influences, relevant stakeholders to obtain organisational commitment to technology roadmaps."
97,23,Develops organisational guidelines for monitoring emerging technologies.
98,23,Collaborates with internal and external parties to facilitate intelligence gathering.
99,24,"Within given research goals, assists in selection and review of credible and reliable resources."
100,24,"Searches for relevant material using specialised websites and sources, reads relevant articles to update knowledge of the relevant field."
101,24,Reports on work carried out and may contribute sections of publication-quality material.
102,24,"Curates, under guidance, a personal collection of relevant material."
103,25,"Within given research goals, builds on and refines appropriate outline ideas for research, including evaluation, development, demonstration and implementation."
104,25,Applies standard methods to collect and analyse quantitative and qualitative data.
105,25,"Creates research reports to communicate research methodology, findings and conclusions."
106,25,Contributes sections of publication-quality material.
107,25,Uses available resources to update knowledge of any relevant field and curates a personal collection of relevant material.
108,25,Participates in research communities.
109,26,"Builds on and refines appropriate outline ideas for the evaluation, development, demonstration and implementation of research."
110,26,Contributes to research goals and funding proposals.
111,26,Collects and analyses qualitative and quantitative data as required.
112,26,Contributes to research plans and identifies appropriate opportunities for publication and dissemination of research findings.
113,26,Makes an active contribution to research communities.
114,26,"Presents papers at conferences, contributes significant sections of publication-quality material and presents reports to clients."
115,27,Agrees research goals and methods and performs projects to generate original ideas.
116,27,Attracts and manages external research funding.
117,27,Maintains a strong external network within own area of specialism.
118,27,Provides advice on performing research.
119,27,Selects and adapts data collection tools and techniques.
120,27,"Develops, reviews and constructively criticises the research and ideas of others."
121,27,Shares demonstrations of research findings.
122,27,Takes part in professional activities outside own employing organisation.
123,27,"Presents papers at significant conferences, writes articles for specialist journals and presents reports to key stakeholders."
124,28,Develops the organisation's research policy and supervises the work of research functions.
125,28,"Promotes activities externally, attracts and manages significant portfolios of research funding."
126,28,Sets research goals and authorises research proposals.
127,28,Leads strategic and/or interdisciplinary research projects.
128,28,Maintains a strong external network reaching beyond own immediate area of specialism.
129,28,Takes a leading part in professional activities outside own employing organisation.
130,28,"Presents keynote papers at major conferences, writes articles for high impact journals and presents reports to major clients."
131,29,Assesses and reports on how different tactical decisions affect sustainability.
132,29,"Evaluates factors and risks (political, legislative, technological, economic, social) that impact on operational processes and strategic direction."
133,29,Evaluates and reports on the implementation of sustainability measures in specific areas.
134,30,"Provides expert advice and guidance on planning, designing and implementing sustainability solutions."
135,30,"Evaluates and selects sustainability methods, tools and practices to be used in line with agreed policies and standards."
136,30,Identifies and recommends improvements to the organisation's approach to sustainability.
