1,4,Contributes to the collection and analysis of information to support strategy development.
1,4,Assists in the preparation of reports and insights for strategic planning.
1,4,Supports the communication of strategic plans and related change initiatives to relevant stakeholders.
1,4,Helps monitor progress against strategic objectives and provides feedback.
1,5,Collates information and creates reports and insights to support strategy management processes.
1,5,Ensures all stakeholders are aware of the strategic management approach and timetables.
1,5,Provides support and guidance to help stakeholders adhere to the approach.
1,5,Develops and communicates plans to drive forward the strategy and related change planning.
1,5,"Contributes to the development of policies, standards and guidelines for strategy development and planning."
1,6,"Sets policies, standards and guidelines for how the organisation conducts strategy development and planning."
1,6,Leads and manages the creation or review of a strategy that meets the requirements of the business.
1,6,"Develops, communicates, implements and reviews the processes which embed strategic management in the operational management of the organisation."
1,7,"Leads the definition, implementation and communication of the organisation’s strategic management framework."
1,7,Directs the creation and review of a strategy and plans to support the strategic requirements of the business.
2,6,Maintains awareness of the global needs of the organisation.
2,6,Promotes the benefits that a common approach to technology deployment will bring to the entire organisation.
2,6,"Coordinates and collaborates with others on the promotion, acquisition, development and implementation of information systems and services."
2,7,"Establishes the organisation's strategy for managing information and communicates the policies, standards, procedures and methods necessary to implement the strategy."
2,7,Coordinates all aspects of management of the lifecycle of information systems.
2,7,Represents the interests of the entire organisation to general management and external bodies on matters relating to information strategy.
3,3,Supports teams and individuals to identify and organise information assets and repositories in line with policy and practices.
3,3,Conducts routine searches for non-sensitive information needed to support organisational decision making.
3,3,Supports users to find and access information resources based on their requirements and approved access.
3,4,"Enables the organisation to organise, control and discover information assets."
3,4,"Supports the organisation to identify, catalogue and categorise information types and information repositories in line with information management strategies and practices."
3,4,Enables users to find information through appropriate use of metadata and search tools.
3,4,Provides advice and guidance to enable good information management practices to be adopted across the organisation.
3,5,Ensures implementation of information and records management policies and standard practice.
3,5,Communicates the benefits and value of information management.
3,5,"Plans effective information storage, sharing and publishing within the organisation."
3,5,Develops organisational taxonomy for information assets.
3,5,Provides expert advice and guidance to enable the organisation to get maximum value from its information assets.
3,5,Assesses issues that might prevent the organisation from making maximum use of its information assets.
3,5,"Contributes to the development of policy, standards and procedures for compliance with relevant legislation."
3,6,Leads and plans activities to communicate and implement information management strategies and policies.
3,6,"Develops organisational policies, standards and guidelines for information management."
3,6,Ensures the information required to support the organisation is defined.
3,6,Creates information management processes.
3,6,Coordinates internal and externally sourced information resources to meet specific business objectives.
3,7,Establishes and communicates the organisation's information management strategy.
3,7,Specifies at a strategic level the information needed to support the business strategy and business functions.
3,7,Directs information resources to create value for stakeholders.
3,7,"Accountable for compliance with regulations, standards and codes of good practice relating to all aspects of information management."
4,5,"Develops models and plans to drive the execution of the business strategy, taking advantage of opportunities to improve business performance."
4,5,Contributes to creating and reviewing a systems capability strategy which meets the business's strategic requirements.
4,5,Creates and maintains roadmaps to guide the execution of business strategy and capability improvements.
