qualificationId,sectorId,branchId,occupationId,levelId
1,91,1,1,1
2,91,1,1,2
3,91,1,1,3
4,91,1,2,3
5,91,1,2,1
6,91,1,2,2
7,91,1,2,4
8,91,1,3,1
9,91,1,3,2
10,91,1,3,4
11,91,1,3,3
12,91,1,4,3
13,91,1,4,1
14,91,1,4,2
15,91,1,4,4
16,79,2,5,1
17,79,2,5,2
18,79,2,5,4
19,79,2,5,5
20,79,2,5,6
21,79,3,6,3
22,79,3,7,3
23,79,3,6,1
24,79,3,6,2
25,79,3,6,4
26,79,3,8,4
27,79,3,7,4
28,79,3,9,5
29,79,3,10,5
30,79,3,9,6
31,79,3,11,6
32,79,3,10,6
33,79,3,11,7
34,79,3,10,7
35,79,3,9,7
36,79,3,11,5
37,79,4,12,3
38,79,4,13,1
39,79,4,14,2
40,79,4,15,4
41,79,5,16,2
42,79,5,16,4
43,79,5,16,5
44,79,5,16,6
45,36,,17,3
46,36,,17,1
47,36,,17,2
48,90,6,18,2
49,90,6,18,4
50,90,6,19,1
51,90,6,19,2
52,90,6,19,4
53,90,6,20,2
54,90,6,20,4
55,90,6,20,5
56,90,6,21,1
57,90,6,21,2
58,90,6,21,4
59,90,6,21,5
60,90,6,22,1
61,90,6,22,2
62,90,6,22,4
63,90,6,22,5
64,90,7,23,1
65,90,7,23,2
66,90,7,23,4
67,90,7,24,1
68,90,7,24,2
69,90,7,25,2
70,90,7,25,4
71,90,7,25,5
72,90,7,26,1
73,90,7,26,2
74,90,7,26,4
75,90,7,26,5
76,90,7,27,1
77,90,7,27,2
78,90,7,27,4
79,90,7,27,5
80,52,8,28,4
81,52,8,28,5
82,52,8,29,4
83,52,8,29,5
84,52,8,30,4
85,52,8,31,4
86,52,8,32,2
87,52,8,32,4
88,52,9,33,4
89,52,9,34,1
90,52,9,34,2
91,52,9,35,1
92,52,9,36,2
93,52,9,36,4
94,79,10,37,3
95,79,11,38,3
96,79,11,39,3
97,79,11,40,3
98,79,11,41,3
99,79,11,38,1
100,79,10,37,1
101,79,11,39,1
102,79,11,40,1
103,79,11,41,1
104,79,10,37,2
105,79,11,38,2
106,79,11,39,2
107,79,11,40,2
108,79,11,41,2
109,79,10,37,4
110,79,11,38,4
111,79,11,39,4
112,79,11,40,4
113,79,11,41,4
114,79,10,42,5
115,79,11,43,5
116,79,11,44,5
117,79,11,45,5
118,79,11,46,5
119,79,10,42,6
120,79,11,45,6
121,79,11,46,6
122,79,11,43,6
123,79,11,44,6
124,75,,47,2
125,75,,47,4
126,75,,47,5
127,34,12,48,1
128,34,12,49,1
129,34,12,48,2
130,34,12,49,2
131,34,12,48,4
132,34,12,50,4
133,34,12,50,5
134,34,12,51,5
135,34,12,51,4
136,82,13,52,1
137,82,13,53,3
138,82,13,54,1
139,82,13,55,2
140,82,13,56,1
141,82,13,57,2
142,82,13,52,2
143,82,13,52,4
144,82,13,54,2
145,82,13,56,3
146,82,13,58,4
147,82,13,57,5
148,82,13,53,5
149,82,13,54,3
150,82,13,56,2
151,82,13,56,4
152,82,13,55,3
153,82,13,55,1
154,82,13,58,3
155,82,13,58,2
156,82,13,53,2
157,82,13,58,1
158,82,13,53,1
159,82,13,53,4
160,82,13,57,4
161,76,14,59,4
162,76,14,60,4
163,76,15,61,5
164,76,15,62,4
165,76,15,63,4
166,76,15,64,4
167,76,15,65,4
168,76,15,66,4
169,76,15,67,5
170,76,15,68,5
171,76,16,69,5
172,95,,70,4
173,95,,70,5
174,95,,71,4
175,95,,71,5
176,95,,72,4
177,95,,72,5
178,95,,73,4
179,95,,73,5
180,40,17,74,4
181,40,17,75,4
182,40,17,76,4
183,40,17,76,5
184,40,17,77,4
185,40,17,78,5
186,40,17,78,4
187,40,17,74,2
188,40,17,76,2
189,40,17,77,2
190,40,17,78,2
191,40,18,79,4
192,40,18,80,2
193,40,18,81,5
194,40,18,81,6
195,40,18,82,1
196,40,18,82,4
197,40,18,79,1
198,40,18,83,5
199,40,18,83,6
200,40,18,82,2
201,40,18,79,2
202,40,18,80,1
203,40,19,84,2
204,40,19,85,4
205,40,19,85,5
206,40,19,86,2
207,40,19,86,4
208,40,19,86,5
209,40,19,84,4
210,40,19,87,1
211,40,19,87,2
212,40,19,87,4
213,40,19,85,2
214,40,20,88,2
215,40,20,89,5
216,40,20,89,6
217,40,20,90,5
218,40,20,88,4
219,40,20,88,5
220,40,20,88,6
221,40,20,89,4
222,40,20,90,4
223,40,20,90,6
224,40,21,91,2
225,40,21,91,4
226,40,21,92,2
227,40,21,92,4
228,40,21,93,2
229,40,21,94,2
230,40,21,94,4
231,40,21,95,4
232,40,21,96,2
233,40,21,96,4
234,40,21,97,4
235,40,21,97,5
236,40,21,98,4
237,40,22,99,6
238,40,22,99,4
239,40,22,99,7
240,40,22,99,5
241,62,,100,1
242,62,,101,1
243,62,,102,3
244,62,,102,1
245,62,,102,2
246,62,,102,4
247,62,,103,3
248,62,,103,1
249,62,,103,2
250,62,,103,4
251,62,,104,1
252,62,,104,2
253,62,,105,1
254,62,,105,2
255,62,,106,1
256,62,,106,2
257,62,,107,2
258,62,,108,1
259,62,,108,2
260,62,,109,1
261,62,,109,2
262,62,,110,1
263,62,,110,2
264,26,23,111,3
265,26,23,111,1
266,26,23,111,2
267,26,23,112,4
268,26,23,112,5
269,54,,113,4
270,54,,113,3
271,54,,113,1
272,54,,113,2
273,54,,114,3
274,54,,114,1
275,54,,114,4
276,54,,114,2
277,34,12,115,1
278,34,12,115,2
279,34,12,115,4
280,45,,116,2
281,45,,117,1
282,45,,116,1
283,45,,116,3
284,45,,117,3
285,45,,117,2
286,91,24,118,3
287,91,24,119,3
288,91,25,120,3
289,91,25,121,3
290,91,25,122,3
291,91,24,123,1
292,91,24,118,1
293,91,24,119,1
294,91,25,120,1
295,91,25,121,1
296,91,25,122,1
297,91,24,123,2
298,91,24,118,2
299,91,25,120,2
300,91,25,121,2
301,91,24,123,4
302,91,24,118,4
303,91,24,119,4
304,91,1,1,4
305,91,24,123,5
306,91,24,118,5
307,91,1,1,5
308,91,25,124,4
309,85,26,125,3
310,85,26,125,2
311,85,26,125,5
312,85,26,125,6
313,85,26,125,7
314,85,26,126,3
315,85,26,126,4
316,85,26,126,5
317,85,26,126,6
318,85,26,126,7
319,85,26,127,3
320,85,26,127,4
321,85,26,127,5
322,85,26,127,6
323,85,26,127,7
324,85,26,128,3
325,85,26,128,1
326,85,26,128,2
327,85,26,128,5
328,85,26,128,6
329,85,26,128,7
330,85,26,129,3
331,85,26,129,4
332,85,26,129,5
333,85,26,129,6
334,85,26,129,7
335,85,26,130,3
336,85,26,130,4
337,85,26,130,5
338,85,26,130,6
339,85,26,130,7
340,85,26,131,3
341,85,26,131,2
342,85,26,131,5
343,85,26,131,6
344,85,26,131,7
345,85,26,132,3
346,85,26,132,2
347,85,26,132,5
348,85,26,132,6
349,85,26,132,7
350,85,26,133,3
351,85,26,133,4
352,85,26,133,5
353,85,26,133,6
354,85,26,133,7
355,85,27,134,3
356,85,27,134,1
357,85,27,134,2
358,85,27,134,4
359,85,27,134,6
360,85,27,134,7
361,85,27,135,3
362,85,27,135,1
363,85,27,135,2
364,85,27,135,4
365,85,27,135,5
366,85,27,135,6
367,85,27,135,7
368,85,28,136,6
369,85,28,137,3
370,85,28,137,4
371,85,28,137,5
372,85,28,137,6
373,85,28,137,7
374,85,28,136,3
375,85,28,136,1
376,85,28,136,2
377,85,28,136,7
378,85,29,138,3
379,85,29,138,1
380,85,29,138,2
381,85,29,138,4
382,85,29,138,5
383,85,29,138,6
384,85,29,138,7
385,85,29,139,3
386,85,29,139,1
387,85,29,139,2
388,85,29,139,4
389,85,29,139,5
390,85,29,139,6
391,85,29,139,7
392,26,30,140,2
393,26,30,140,4
394,26,30,140,5
395,64,,141,3
396,64,,141,1
397,64,,141,2
398,64,,141,4
399,26,23,142,3
400,26,23,142,1
401,26,23,142,2
402,52,8,143,4
403,52,8,143,5
404,52,9,35,2
405,52,8,31,5
406,52,8,144,4
407,52,8,144,5
408,52,8,30,5
409,52,8,32,1
410,82,13,57,3
411,82,13,57,1
412,82,13,56,5
413,82,13,52,5
414,82,13,55,4
415,82,13,145,1
416,82,13,145,2
417,82,13,54,4
418,79,2,5,7
419,40,21,95,2
420,36,,146,2
421,36,,146,1
422,56,,147,4
423,56,,147,5
424,56,,147,6
425,56,,147,7
426,56,,148,6
427,56,,148,4
428,56,,148,5
429,56,,149,4
430,56,,149,5
431,56,,149,6
432,56,,149,2
433,56,,150,2
434,56,,150,4
435,56,,150,5
436,56,,150,6
437,56,,151,2
438,56,,151,4
439,56,,151,5
440,56,,152,2
441,56,,152,5
442,56,,152,4
443,50,,153,1
444,50,,153,2
445,50,,153,4
446,50,,153,3
447,50,,153,5
448,69,31,154,1
449,69,31,154,3
450,69,31,154,2
451,69,31,155,1
452,69,31,155,3
453,69,31,155,2
454,69,31,156,3
455,69,31,156,1
456,69,31,156,2
457,69,31,156,4
458,69,31,157,3
459,69,31,157,1
460,69,31,157,2
461,69,31,158,1
462,69,31,158,4
463,69,31,159,2
464,69,31,159,4
465,69,31,160,4
466,69,31,161,2
467,69,31,161,4
468,69,31,161,5
469,64,,162,3
470,64,,162,1
471,64,,162,2
472,64,,162,4
473,62,,163,3
474,79,3,8,3
475,34,12,115,4
476,34,12,115,1
477,34,12,115,2
478,67,32,164,2
479,67,32,165,2
480,67,32,166,4
481,67,32,167,5
482,67,32,167,6
483,67,32,167,7
484,67,32,168,1
485,67,32,168,2
486,67,32,169,4
487,67,32,169,5
488,28,33,170,2
489,28,33,170,4
490,28,33,170,5
491,28,33,170,6
492,28,33,170,7
493,28,34,171,2
494,28,34,171,4
495,28,35,172,2
496,28,35,172,4
497,28,35,173,2
498,28,35,173,4
499,28,35,174,2
500,28,35,174,4
501,28,36,175,3
502,28,36,176,3
503,28,36,177,3
504,28,36,178,3
505,28,36,179,3
506,28,36,180,3
507,28,36,181,3
508,28,36,182,3
509,28,36,183,3
510,28,36,184,3
511,28,36,175,1
512,28,36,176,1
513,28,36,177,1
514,28,36,178,1
515,28,36,179,1
516,28,36,180,1
517,28,36,181,1
518,28,36,182,1
519,28,36,183,1
520,28,36,184,1
521,28,36,176,2
522,28,36,177,2
523,28,37,185,4
524,28,37,185,5
525,28,37,186,2
526,28,37,187,2
527,28,37,187,4
528,28,37,188,4
529,28,37,188,5
530,28,37,189,2
531,74,,190,5
532,74,,191,5
533,74,,192,5
534,74,,193,5
535,74,,190,1
536,74,,191,1
537,74,,192,1
538,74,,193,1
539,74,,190,2
540,74,,191,2
541,74,,192,2
542,74,,193,2
543,74,,190,4
544,74,,191,4
545,74,,192,4
546,74,,193,4
547,21,38,194,4
548,21,38,194,5
549,66,,195,2
550,66,,196,2
551,66,,197,2
552,66,,198,2
553,66,,195,4
554,66,,196,4
555,66,,197,4
556,66,,198,4
557,66,,199,4
558,66,,200,4
559,66,,201,4
560,66,,202,4
561,66,,203,5
562,66,,203,6
563,91,25,122,2
564,26,39,204,3
565,26,39,204,1
566,26,39,204,2
567,26,39,204,4
568,26,39,204,5
569,26,39,205,3
570,26,39,205,1
571,26,39,205,2
572,26,39,205,4
573,26,39,205,5
574,26,39,205,6
575,26,39,206,3
576,26,39,206,1
577,26,39,206,2
578,26,39,206,4
579,26,39,206,5
580,26,39,206,6
581,26,39,207,3
582,26,39,207,1
583,26,39,207,2
584,26,39,207,4
585,26,39,207,5
586,26,39,207,6
587,26,39,208,3
588,26,39,208,1
589,26,39,208,2
590,26,39,208,4
591,26,39,208,5
592,26,39,208,6
593,26,30,209,3
594,26,30,209,1
595,26,30,209,4
596,26,30,209,5
597,26,30,209,6
598,26,30,209,2
599,26,30,210,1
600,26,30,210,2
601,26,30,210,4
602,26,30,210,5
603,26,30,210,6
604,28,37,187,5
605,41,,211,2
606,41,,211,4
607,41,,212,4
608,41,,212,2
609,41,,213,1
610,41,,213,2
611,29,40,214,4
612,29,40,215,5
613,29,40,215,6
614,35,41,216,1
615,35,41,216,2
616,35,41,216,4
617,35,41,216,5
618,35,41,217,1
619,35,41,217,2
620,35,41,217,4
621,35,41,217,5
622,35,41,218,3
623,35,41,218,1
624,35,41,218,2
625,35,41,218,4
626,35,41,218,5
627,73,42,219,4
628,73,42,219,5
629,73,42,219,2
630,24,43,220,4
631,24,43,221,5
633,24,43,222,1
637,24,43,222,2
640,24,44,223,4
641,24,44,224,5
643,24,44,222,1
644,24,45,225,1
646,24,44,226,1
648,24,44,222,2
649,24,44,225,2
651,24,44,226,2
652,24,46,227,5
653,24,46,222,1
654,24,46,222,2
655,24,46,226,1
656,24,46,226,2
659,24,46,225,1
660,24,46,225,2
661,24,46,228,4
664,57,47,229,4
665,57,47,229,5
666,57,47,229,6
667,57,48,230,2
668,57,48,230,4
669,57,48,230,5
670,57,48,230,6
671,57,48,231,2
672,57,48,231,4
673,57,48,231,5
674,57,48,231,6
675,57,48,232,2
676,57,48,232,5
677,57,48,232,6
678,57,48,232,4
